Category,Level1,Level2,Level3,Level4,Total,,A,B,C,D
,Bangunan,Bahan baku,Batu bata,Batu bata,93,,0,0,0,0
,Bangunan,Bahan baku,Pasir,Pasir,9,b,,,,0.38
,Bangunan,Bahan baku,Semen,Semen,14,b,,,,0.893
,Bangunan,Bahan baku,Cat,Cat,71,b,,,,0.083
,Bangunan,Bahan baku,Puing,Puing,84,b,,,,54.561
,Bangunan,Bahan baku,Keramik,Keramik,24,b,,,,-0.052
,Bangunan,Bahan baku,Kayu,Kayu,23,b,,,,0.105
,Bangunan,Bahan baku,Kabel,Kabel,39,b,,,,83.099
,Bangunan,Alat,Kuas,Kuas,38,b,,,,-2.075
,Bangunan,Alat,Palu,Palu,64,b,,,,0.059
,Bangunan,Alat,Obeng,Obeng,23,b,,,,-0.146
,Bangunan,Alat,Bor ,Bor ,9,b,,,,0.146
,Bangunan,Alat,Gergaji,Gergaji,63,b,,,,61.661
,Bangunan,Alat,Meteran,Meteran,32,b,,,,0.175
,Partisi,Pintu,Kayu,Kayu,51,b,,,,-25.456
,Partisi,Pintu,Engsel,Engsel,55,b,,,,-29.19
,Partisi,Pintu,Knop,Knop,70,b,,,,2.629
,Partisi,Pintu,Paku,Paku,30,b,,,,676.467
,Partisi,Jendela,Kaca,Kaca,6,b,,,,-4.317
,Partisi,Jendela,Kusen,Kusen,72,b,,,,-2.495
,Partisi,Jendela,Lem,Lem,17,b,,,,3.026
,Partisi,Jendela,Paku,Paku,72,b,,,,143.547
,Ruangan,Kamar mandi,Keramik,Keramik,81,b,,,,-0.16
,Ruangan,Kamar mandi,Kloset,Kloset,49,b,,,,-3.339
,Ruangan,Kamar mandi,Bak air,Bak air,25,b,,,,-0.196
,Ruangan,Dapur,Pipa gas,Pipa gas,100,b,,,,-6.953
,Ruangan,Dapur,Pipa air,Pipa air,53,b,,,,-3.649
,Ruangan,Dapur,Kabel,Kabel,57,b,,,,-0.59
,Ruangan,Dapur,Colokan listrik,Colokan listrik,27,b,,,,-20.844
,Ruangan,Kamar tidur,Lampu,Lampu,21,b,,,,-6.95
,Ruangan,Kamar tidur,Karpet,Karpet,67,b,,,,-21.257
,Ruangan,Kamar tidur,Lemari,Lemari,61,b,,,,-3.933
,Ruangan,Ruang makan,Meja,Meja,43,b,,,,-0.322
,Ruangan,Ruang makan,Kursi,Kursi,51,b,,,,-14.103
,Ruangan,Ruang makan,Tudung saji,Tudung saji,93,b,,,,-2.395
,Tenaga kerja,Mandor,Full time,Full time,21,g,0,186.3,42.6,228.9
,Tenaga kerja,Mandor,Full time,Full time,38,g,0,4.5,0.9,5.4
,Tenaga kerja,Mandor,Part time,Part time,89,,0,0,0,0
,Tenaga kerja,PM,Full time,Full time,70,b,,,,-194.019
,Tenaga kerja,PM,Full time,Full time,81,b,,,,-4.082
,Tenaga kerja,Pekerja,Full time,Full time,37,b,,,,-8.985
,Tenaga kerja,Pekerja,Part time,Part time,70,b,,,,-0.215
,Tenaga kerja,Pekerja,Part time,Part time,13,b,,,,-4.4
,Tenaga kerja,Pekerja,Full time,Full time,23,b,,,,-0.424
,Tenaga kerja,Supir,Full time,Full time,86,b,,,,-56.194
,Tenaga kerja,Supir,Part time,Part time,87,b,,,,-54.735
,Tenaga kerja,Supir,Full time,Full time,47,b,,,,-5.87
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,43,,0,0,0,0
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,86,b,,,,-194.019
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,63,b,,,,-4.082
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Granitile,89,b,,,,-8.985
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,50,b,,,,-0.215
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,38,b,,,,-4.4
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,37,b,,,,-0.424
,Lantai dan Dinding,Lantai Dasar,Pelapis Lantai,Crystal,65,b,,,,-56.194
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,76,b,,,,-54.735
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,75,b,,,,-5.87
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,15,b,,,,-10.513
,Lantai dan Dinding,Lantai Dasar,Keramik,30 x 30,81,b,,,,-20.811
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,20,b,,,,-0.225
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,27,b,,,,-0.134
,Lantai dan Dinding,Lantai Dasar,Keramik,60 x 60,100,b,,,,-1.126
,Lantai dan Dinding,Lantai Dasar,Keramik,90 x 90,72,b,,,,-5.8
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,8,b,,,,-0.672
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,45,b,,,,-3.552
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,22,b,,,,273.401
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Granitile,53,b,,,,3.761
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,90,b,,,,264.336
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,27,b,,,,2.195
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,32,b,,,,281.418
,Lantai dan Dinding,Lantai Dasar,Pelapis Dinding,Crystal,74,b,,,,0.399
